"Time (s)","Sound pressure level (dB)"
1.987150804E1,-4.546910739E1
1.997657229E1,-3.687503175E1
2.008332958E1,-3.891347366E1
2.018570942E1,-5.036223300E1
2.029241429E1,-5.211670330E1
2.039684867E1,-5.237246615E1
2.050063421E1,-6.005007761E1
2.060271375E1,-5.028096407E1
2.070951471E1,-5.764705980E1
2.081623308E1,-5.555784591E1
2.091959600E1,-5.805603249E1
2.102363321E1,-3.714162464E1
2.113029242E1,-3.568775970E1
2.123654683E1,-5.472668802E1
2.133926471E1,-5.872592718E1
2.144417079E1,-6.758724744E1
2.154837496E1,-4.630097278E1
2.165150383E1,-5.586943694E1
2.175370454E1,-5.053225989E1
2.185621996E1,-5.706457668E1
2.196139575E1,-4.454023246E1
2.206833792E1,-4.054165510E1
2.217060479E1,-3.650120603E1
2.227666879E1,-4.282572359E1
2.238335400E1,-4.881900177E1
2.248730408E1,-6.843364479E1
2.259078442E1,-4.445188413E1
2.269759296E1,-5.027029299E1
2.280214308E1,-4.994877374E1
2.290402608E1,-5.033673452E1
2.300985500E1,-5.051432143E1
2.311640737E1,-4.669175947E1
2.322078658E1,NaN
2.332367262E1,-3.768013408E1
2.343034167E1,-4.214537091E1
2.353580446E1,-4.301691390E1
2.363923587E1,-5.751338185E1
2.374416137E1,-6.011864819E1
2.384846075E1,-5.008125780E1
2.395265683E1,-4.272267818E1
2.405471817E1,-4.850074110E1
2.416140842E1,-4.986051560E1
2.426800038E1,-5.194509927E1
2.437145879E1,-5.831127861E1
2.447656833E1,-4.939593465E1
2.458326700E1,-4.076383292E1
2.468855387E1,-4.357540664E1
2.479521671E1,-5.311503618E1
2.490188029E1,-5.222380581E1
2.500534562E1,-5.906057678E1
2.510985937E1,-6.031002575E1
2.521596875E1,-4.611207560E1
2.532021792E1,-4.955305945E1
2.542517667E1,-5.142233375E1
2.553179492E1,-6.180662421E1
2.563723483E1,-5.839172521E1
2.573924642E1,-5.419155985E1
2.584415687E1,-5.877365764E1
2.594839746E1,-5.473609565E1
2.605414704E1,-3.984432258E1
2.616087287E1,-4.097674115E1
2.626751225E1,-4.265928756E1
2.637117075E1,-4.484622130E1
2.647656092E1,-4.602239419E1
2.658324663E1,-4.619823903E1
2.668803521E1,-4.859740042E1
2.679028342E1,-5.967159526E1
2.689705746E1,-3.753588584E1
2.700383729E1,-4.760919627E1
2.710984296E1,-4.331500774E1
2.721653367E1,-5.173972411E1
2.732200821E1,-4.651835363E1
2.742400467E1,-4.062880816E1
2.753079412E1,-4.699083762E1
2.763406029E1,-5.804842899E1
2.773902896E1,-4.465844448E1
2.784408179E1,-4.865895518E1
2.794837825E1,-4.694134538E1
2.805158083E1,-5.180638457E1
2.815617796E1,-4.215991373E1
2.826148275E1,-4.013921687E1
2.836820104E1,-3.916438930E1
2.847304579E1,-4.841991238E1
2.857624621E1,-5.026237718E1
2.868294512E1,-5.242878553E1
2.878963821E1,-4.905637862E1
2.889198229E1,-4.272226851E1
2.899878096E1,-5.113961939E1
2.910539700E1,-5.118513289E1
2.920895896E1,-4.783309888E1
2.931186887E1,-4.325194989E1
2.941852587E1,-4.866000285E1
2.952402612E1,-4.247461274E1
2.963073158E1,-4.451812263E1
2.973741775E1,-4.329460365E1
2.984417833E1,-4.094926431E1
2.994836229E1,-4.590347294E1
3.005510267E1,-4.518379622E1
3.016144292E1,-4.501708657E1
3.026801475E1,-5.678409831E1
3.037410342E1,-4.775339347E1
3.047652554E1,-4.788190666E1
3.058324367E1,-5.632405028E1
3.068821425E1,-5.624248712E1
3.079325096E1,-5.088771865E1
3.090005387E1,-4.448510072E1
3.100693775E1,-4.673759326E1
3.110986700E1,-4.175493990E1
3.121661042E1,-4.133059641E1
3.132032287E1,-4.618837185E1
3.142704275E1,-4.636108079E1
3.153371954E1,-5.267886514E1
3.163923929E1,-4.941936291E1
3.174393442E1,-4.609804535E1
3.184839208E1,-6.089364019E1
3.195509725E1,-4.791100730E1
3.206096471E1,-4.704115774E1
3.216769358E1,-5.746711867E1
3.227152754E1,-3.993197581E1
3.237651042E1,-5.443347547E1
